0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, DStar, ACS, combine: 1
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, DStar, Nopol, combine: 2
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, DStar, SimFix, combine: 3
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, DStar, TBar, combine: 4
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Jaccard, ACS, combine: 5
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Jaccard, Nopol, combine: 6
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Jaccard, SimFix, combine: 7
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Jaccard, TBar, combine: 8
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Ochiai, ACS, combine: 9
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Ochiai, Nopol, combine: 10
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Ochiai, SimFix, combine: 11
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Ochiai, TBar, combine: 12
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Tarantula, ACS, combine: 13
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Tarantula, Nopol, combine: 14
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Tarantula, SimFix, combine: 15
0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, Tarantula, TBar, combine: 16
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, DStar, ACS, combine: 1
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, DStar, Nopol, combine: 2
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, DStar, SimFix, combine: 3
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, DStar, TBar, combine: 4
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, Jaccard, ACS, combine: 5
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, Jaccard, Nopol, combine: 6
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, Jaccard, SimFix, combine: 7
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, Jaccard, TBar, combine: 8
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, Ochiai, ACS, combine: 9
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, Ochiai, Nopol, combine: 10
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, Ochiai, SimFix, combine: 11
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, Ochiai, TBar, combine: 12
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, Tarantula, ACS, combine: 13
0 qid:10007 1:0 2:0 3:0 4:0 5:0.0 #chart-7, Tarantula, Nopol, combine: 14
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, Tarantula, SimFix, combine: 15
1 qid:10007 1:0 2:0 3:0 4:0 5:1.0 #chart-7, Tarantula, TBar, combine: 16
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, DStar, ACS, combine: 1
