0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, DStar, ACS, combine: 1
0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, DStar, Nopol, combine: 2
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, DStar, SimFix, combine: 3
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, DStar, TBar, combine: 4
0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, Jaccard, ACS, combine: 5
0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, Jaccard, Nopol, combine: 6
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, Jaccard, SimFix, combine: 7
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, Jaccard, TBar, combine: 8
0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, Ochiai, ACS, combine: 9
0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, Ochiai, Nopol, combine: 10
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, Ochiai, SimFix, combine: 11
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, Ochiai, TBar, combine: 12
0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, Tarantula, ACS, combine: 13
0 qid:10001 1:0 2:0 3:0 4:0 5:0.0 #chart-1, Tarantula, Nopol, combine: 14
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, Tarantula, SimFix, combine: 15
1 qid:10001 1:0 2:0 3:0 4:0 5:1.0 #chart-1, Tarantula, TBar, combine: 16
0 qid:10002 1:0 2:0 3:0 4:0 5:0.0 #chart-2, DStar, ACS, combine: 1
0 qid:10002 1:0 2:0 3:0 4:0 5:0.0 #chart-2, DStar, Nopol, combine: 2
0 qid:10002 1:0 2:0 3:0 4:0 5:0.5 #chart-2, DStar, SimFix, combine: 3
0 qid:10002 1:0 2:0 3:0 4:0 5:0.5 #chart-2, DStar, TBar, combine: 4
0 qid:10002 1:0 2:0 3:0 4:0 5:0.0 #chart-2, Jaccard, ACS, combine: 5
0 qid:10002 1:0 2:0 3:0 4:0 5:0.0 #chart-2, Jaccard, Nopol, combine: 6
0 qid:10002 1:0 2:0 3:0 4:0 5:0.5 #chart-2, Jaccard, SimFix, combine: 7
0 qid:10002 1:0 2:0 3:0 4:0 5:0.5 #chart-2, Jaccard, TBar, combine: 8
0 qid:10002 1:0 2:0 3:0 4:0 5:0.0 #chart-2, Ochiai, ACS, combine: 9
0 qid:10002 1:0 2:0 3:0 4:0 5:0.0 #chart-2, Ochiai, Nopol, combine: 10
