Top: 1, Stetemnet: 60, Suspicious_Value: 1
Top: 2, Stetemnet: 54, Suspicious_Value: 0.924399
Top: 3, Stetemnet: 48, Suspicious_Value: 0.914089
Top: 4, Stetemnet: 9, Suspicious_Value: 0.910653
Top: 5, Stetemnet: 484, Suspicious_Value: 0.862543
Top: 5, Stetemnet: 485, Suspicious_Value: 0.862543
Top: 5, Stetemnet: 488, Suspicious_Value: 0.862543
Top: 5, Stetemnet: 489, Suspicious_Value: 0.862543
Top: 5, Stetemnet: 490, Suspicious_Value: 0.862543
Top: 5, Stetemnet: 491, Suspicious_Value: 0.862543
Top: 6, Stetemnet: 6, Suspicious_Value: 0.690722
Top: 6, Stetemnet: 7, Suspicious_Value: 0.690722
Top: 6, Stetemnet: 8, Suspicious_Value: 0.690722
Top: 7, Stetemnet: 27, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 28, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 29, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 31, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 33, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 35, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 36, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 37, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 38, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 39, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 40, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 41, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 42, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 43, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 44, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 45, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 46, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 47, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 397, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 398, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 399, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 400, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 401, Suspicious_Value: 0.61512
Top: 7, Stetemnet: 402, Suspicious_Value: 0.61512
Top: 8, Stetemnet: 496, Suspicious_Value: 0.546392
Top: 8, Stetemnet: 497, Suspicious_Value: 0.546392
Top: 9, Stetemnet: 170, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 171, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 172, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 173, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 174, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 175, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 176, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 177, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 178, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 179, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 180, Suspicious_Value: 0.446735
Top: 9, Stetemnet: 181, Suspicious_Value: 0.446735
Top: 10, Stetemnet: 114, Suspicious_Value: 0.38488
Top: 10, Stetemnet: 115, Suspicious_Value: 0.38488
Top: 11, Stetemnet: 256, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 257, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 258, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 259, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 261, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 262, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 263, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 264, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 265, Suspicious_Value: 0.274914
Top: 11, Stetemnet: 266, Suspicious_Value: 0.274914
