Stetemnet: 11, Suspicious_Value: 1
Stetemnet: 12, Suspicious_Value: 1
Stetemnet: 13, Suspicious_Value: 1
Stetemnet: 14, Suspicious_Value: 1
Stetemnet: 15, Suspicious_Value: 0.888889
Stetemnet: 17, Suspicious_Value: 0.777778
Stetemnet: 19, Suspicious_Value: 0.777778
Stetemnet: 20, Suspicious_Value: 0.777778
Stetemnet: 22, Suspicious_Value: 0.777778
Stetemnet: 24, Suspicious_Value: 0.777778
Stetemnet: 1, Suspicious_Value: 0.111111
Stetemnet: 2, Suspicious_Value: 0.111111
Stetemnet: 9, Suspicious_Value: 0.111111
Stetemnet: 10, Suspicious_Value: 0.111111
Stetemnet: 16, Suspicious_Value: 0.111111
Stetemnet: 18, Suspicious_Value: 0.111111
Stetemnet: 21, Suspicious_Value: 0.111111
Stetemnet: 23, Suspicious_Value: 0.111111
Stetemnet: 25, Suspicious_Value: 0.111111
Stetemnet: 3, Suspicious_Value: 0
Stetemnet: 4, Suspicious_Value: 0
Stetemnet: 5, Suspicious_Value: 0
Stetemnet: 6, Suspicious_Value: 0
Stetemnet: 7, Suspicious_Value: 0
Stetemnet: 8, Suspicious_Value: 0
