Stetemnet: 159, Suspicious_Value: 1
Stetemnet: 173, Suspicious_Value: 1
Stetemnet: 172, Suspicious_Value: 0.991935
Stetemnet: 175, Suspicious_Value: 0.991935
Stetemnet: 160, Suspicious_Value: 0.983871
Stetemnet: 162, Suspicious_Value: 0.983871
Stetemnet: 163, Suspicious_Value: 0.983871
Stetemnet: 164, Suspicious_Value: 0.983871
Stetemnet: 177, Suspicious_Value: 0.983871
Stetemnet: 178, Suspicious_Value: 0.983871
Stetemnet: 180, Suspicious_Value: 0.951613
Stetemnet: 266, Suspicious_Value: 0.927419
Stetemnet: 104, Suspicious_Value: 0.903226
Stetemnet: 105, Suspicious_Value: 0.903226
Stetemnet: 106, Suspicious_Value: 0.903226
Stetemnet: 107, Suspicious_Value: 0.903226
Stetemnet: 109, Suspicious_Value: 0.903226
Stetemnet: 128, Suspicious_Value: 0.903226
Stetemnet: 130, Suspicious_Value: 0.903226
Stetemnet: 131, Suspicious_Value: 0.903226
Stetemnet: 132, Suspicious_Value: 0.903226
Stetemnet: 94, Suspicious_Value: 0.895161
Stetemnet: 95, Suspicious_Value: 0.895161
Stetemnet: 179, Suspicious_Value: 0.862903
Stetemnet: 51, Suspicious_Value: 0.846774
Stetemnet: 52, Suspicious_Value: 0.846774
Stetemnet: 110, Suspicious_Value: 0.814516
Stetemnet: 111, Suspicious_Value: 0.814516
Stetemnet: 112, Suspicious_Value: 0.814516
Stetemnet: 122, Suspicious_Value: 0.814516
Stetemnet: 145, Suspicious_Value: 0.806452
Stetemnet: 69, Suspicious_Value: 0.701613
Stetemnet: 70, Suspicious_Value: 0.701613
Stetemnet: 265, Suspicious_Value: 0.669355
Stetemnet: 250, Suspicious_Value: 0.66129
Stetemnet: 16, Suspicious_Value: 0.41129
Stetemnet: 259, Suspicious_Value: 0.33871
Stetemnet: 260, Suspicious_Value: 0.33871
Stetemnet: 261, Suspicious_Value: 0.33871
Stetemnet: 262, Suspicious_Value: 0.33871
Stetemnet: 264, Suspicious_Value: 0.33871
Stetemnet: 267, Suspicious_Value: 0.33871
Stetemnet: 269, Suspicious_Value: 0.33871
Stetemnet: 146, Suspicious_Value: 0.25
Stetemnet: 80, Suspicious_Value: 0.217742
Stetemnet: 248, Suspicious_Value: 0.185484
Stetemnet: 102, Suspicious_Value: 0.169355
Stetemnet: 103, Suspicious_Value: 0.169355
Stetemnet: 38, Suspicious_Value: 0.16129
Stetemnet: 40, Suspicious_Value: 0.16129
Stetemnet: 42, Suspicious_Value: 0.16129
Stetemnet: 43, Suspicious_Value: 0.16129
Stetemnet: 209, Suspicious_Value: 0.16129
Stetemnet: 211, Suspicious_Value: 0.16129
Stetemnet: 213, Suspicious_Value: 0.16129
Stetemnet: 23, Suspicious_Value: 0.129032
Stetemnet: 45, Suspicious_Value: 0.129032
Stetemnet: 47, Suspicious_Value: 0.129032
Stetemnet: 98, Suspicious_Value: 0.129032
Stetemnet: 99, Suspicious_Value: 0.129032
Stetemnet: 215, Suspicious_Value: 0.129032
Stetemnet: 216, Suspicious_Value: 0.129032
Stetemnet: 218, Suspicious_Value: 0.129032
Stetemnet: 220, Suspicious_Value: 0.129032
Stetemnet: 222, Suspicious_Value: 0.129032
Stetemnet: 224, Suspicious_Value: 0.129032
Stetemnet: 271, Suspicious_Value: 0.129032
Stetemnet: 273, Suspicious_Value: 0.129032
Stetemnet: 275, Suspicious_Value: 0.129032
Stetemnet: 276, Suspicious_Value: 0.129032
Stetemnet: 278, Suspicious_Value: 0.129032
Stetemnet: 280, Suspicious_Value: 0.129032
Stetemnet: 60, Suspicious_Value: 0.0887097
Stetemnet: 61, Suspicious_Value: 0.0887097
Stetemnet: 123, Suspicious_Value: 0.0887097
Stetemnet: 127, Suspicious_Value: 0.0887097
Stetemnet: 147, Suspicious_Value: 0.0887097
Stetemnet: 181, Suspicious_Value: 0.0887097
Stetemnet: 182, Suspicious_Value: 0.0887097
Stetemnet: 183, Suspicious_Value: 0.0887097
Stetemnet: 240, Suspicious_Value: 0.0887097
Stetemnet: 241, Suspicious_Value: 0.0887097
Stetemnet: 243, Suspicious_Value: 0.0887097
Stetemnet: 244, Suspicious_Value: 0.0887097
Stetemnet: 245, Suspicious_Value: 0.0887097
Stetemnet: 81, Suspicious_Value: 0.0806452
Stetemnet: 185, Suspicious_Value: 0.0725806
Stetemnet: 124, Suspicious_Value: 0.0645161
Stetemnet: 125, Suspicious_Value: 0.0645161
Stetemnet: 1, Suspicious_Value: 0.0564516
Stetemnet: 2, Suspicious_Value: 0.0564516
Stetemnet: 55, Suspicious_Value: 0.0564516
Stetemnet: 56, Suspicious_Value: 0.0564516
Stetemnet: 57, Suspicious_Value: 0.0564516
Stetemnet: 58, Suspicious_Value: 0.0564516
Stetemnet: 59, Suspicious_Value: 0.0564516
Stetemnet: 62, Suspicious_Value: 0.0564516
Stetemnet: 214, Suspicious_Value: 0.0564516
Stetemnet: 263, Suspicious_Value: 0.0564516
Stetemnet: 270, Suspicious_Value: 0.0564516
