0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Ample, ACS, combine: 1
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Ample, Nopol, combine: 2
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Ample, SimFix, combine: 3
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Ample, TBar, combine: 4
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Anderberg, ACS, combine: 5
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Anderberg, Nopol, combine: 6
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Anderberg, SimFix, combine: 7
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, Anderberg, TBar, combine: 8
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, ArithmeticMean, ACS, combine: 9
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, ArithmeticMean, Nopol, combine: 10
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, ArithmeticMean, SimFix, combine: 11
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, ArithmeticMean, TBar, combine: 12
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, BaroniUrbaniBuser, ACS, combine: 13
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, BaroniUrbaniBuser, Nopol, combine: 14
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, BaroniUrbaniBuser, SimFix, combine: 15
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, BaroniUrbaniBuser, TBar, combine: 16
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 #closure-1, BraunBanqust, ACS, combine: 17
