0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ample, ACS, combine: 1
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ample, Nopol, combine: 2
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ample, SimFix, combine: 3
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ample, TBar, combine: 4
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Anderberg, ACS, combine: 5
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Anderberg, Nopol, combine: 6
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Anderberg, SimFix, combine: 7
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Anderberg, TBar, combine: 8
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, ArithmeticMean, ACS, combine: 9
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, ArithmeticMean, Nopol, combine: 10
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, ArithmeticMean, SimFix, combine: 11
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, ArithmeticMean, TBar, combine: 12
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BaroniUrbaniBuser, ACS, combine: 13
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BaroniUrbaniBuser, Nopol, combine: 14
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BaroniUrbaniBuser, SimFix, combine: 15
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BaroniUrbaniBuser, TBar, combine: 16
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BraunBanqust, ACS, combine: 17
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BraunBanqust, Nopol, combine: 18
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BraunBanqust, SimFix, combine: 19
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BraunBanqust, TBar, combine: 20
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Cohen, ACS, combine: 21
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Cohen, Nopol, combine: 22
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Cohen, SimFix, combine: 23
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Cohen, TBar, combine: 24
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dennis, ACS, combine: 25
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dennis, Nopol, combine: 26
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dennis, SimFix, combine: 27
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dennis, TBar, combine: 28
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dice, ACS, combine: 29
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dice, Nopol, combine: 30
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dice, SimFix, combine: 31
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dice, TBar, combine: 32
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dstar, ACS, combine: 33
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dstar, Nopol, combine: 34
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dstar, SimFix, combine: 35
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dstar, TBar, combine: 36
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Euclid, ACS, combine: 37
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Euclid, Nopol, combine: 38
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Euclid, SimFix, combine: 39
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Euclid, TBar, combine: 40
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Fleiss, ACS, combine: 41
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Fleiss, Nopol, combine: 42
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Fleiss, SimFix, combine: 43
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Fleiss, TBar, combine: 44
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Fossum, ACS, combine: 45
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Fossum, Nopol, combine: 46
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Fossum, SimFix, combine: 47
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Fossum, TBar, combine: 48
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Goodman, ACS, combine: 49
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Goodman, Nopol, combine: 50
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Goodman, SimFix, combine: 51
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Goodman, TBar, combine: 52
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Gower, ACS, combine: 53
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Gower, Nopol, combine: 54
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Gower, SimFix, combine: 55
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Gower, TBar, combine: 56
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, GP13, ACS, combine: 57
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, GP13, Nopol, combine: 58
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, GP13, SimFix, combine: 59
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, GP13, TBar, combine: 60
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Hamann, ACS, combine: 61
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Hamann, Nopol, combine: 62
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Hamann, SimFix, combine: 63
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Hamann, TBar, combine: 64
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Hamming, ACS, combine: 65
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Hamming, Nopol, combine: 66
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Hamming, SimFix, combine: 67
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Hamming, TBar, combine: 68
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, HarmonicMean, ACS, combine: 69
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, HarmonicMean, Nopol, combine: 70
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, HarmonicMean, SimFix, combine: 71
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, HarmonicMean, TBar, combine: 72
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Jaccard, ACS, combine: 73
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Jaccard, Nopol, combine: 74
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Jaccard, SimFix, combine: 75
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Jaccard, TBar, combine: 76
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Kulczynski1, ACS, combine: 77
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Kulczynski1, Nopol, combine: 78
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Kulczynski1, SimFix, combine: 79
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Kulczynski1, TBar, combine: 80
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Kulczynskil2, ACS, combine: 81
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Kulczynskil2, Nopol, combine: 82
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Kulczynskil2, SimFix, combine: 83
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Kulczynskil2, TBar, combine: 84
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, M1, ACS, combine: 85
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, M1, Nopol, combine: 86
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, M1, SimFix, combine: 87
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, M1, TBar, combine: 88
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, M2, ACS, combine: 89
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, M2, Nopol, combine: 90
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, M2, SimFix, combine: 91
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, M2, TBar, combine: 92
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Michael, ACS, combine: 93
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Michael, Nopol, combine: 94
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Michael, SimFix, combine: 95
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Michael, TBar, combine: 96
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Mountford, ACS, combine: 97
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Mountford, Nopol, combine: 98
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Mountford, SimFix, combine: 99
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Mountford, TBar, combine: 100
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ochiai, ACS, combine: 101
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ochiai, Nopol, combine: 102
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ochiai, SimFix, combine: 103
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ochiai, TBar, combine: 104
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ochiai2, ACS, combine: 105
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ochiai2, Nopol, combine: 106
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ochiai2, SimFix, combine: 107
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ochiai2, TBar, combine: 108
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Optimal, ACS, combine: 109
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Optimal, Nopol, combine: 110
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Optimal, SimFix, combine: 111
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Optimal, TBar, combine: 112
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, OptimalP, ACS, combine: 113
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, OptimalP, Nopol, combine: 114
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, OptimalP, SimFix, combine: 115
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, OptimalP, TBar, combine: 116
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Overlap, ACS, combine: 117
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Overlap, Nopol, combine: 118
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Overlap, SimFix, combine: 119
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Overlap, TBar, combine: 120
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Phi, ACS, combine: 121
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Phi, Nopol, combine: 122
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Phi, SimFix, combine: 123
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Phi, TBar, combine: 124
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Pierce, ACS, combine: 125
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Pierce, Nopol, combine: 126
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Pierce, SimFix, combine: 127
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Pierce, TBar, combine: 128
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, RogersTanimoto, ACS, combine: 129
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, RogersTanimoto, Nopol, combine: 130
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, RogersTanimoto, SimFix, combine: 131
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, RogersTanimoto, TBar, combine: 132
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Rogot1, ACS, combine: 133
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Rogot1, Nopol, combine: 134
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Rogot1, SimFix, combine: 135
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Rogot1, TBar, combine: 136
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Rogot2, ACS, combine: 137
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Rogot2, Nopol, combine: 138
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Rogot2, SimFix, combine: 139
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Rogot2, TBar, combine: 140
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, RussellRao, ACS, combine: 141
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, RussellRao, Nopol, combine: 142
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, RussellRao, SimFix, combine: 143
2 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, RussellRao, TBar, combine: 144
