0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ample, ACS, combine: 1
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Ample, Nopol, combine: 2
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ample, SimFix, combine: 3
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ample, TBar, combine: 4
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ample, jGenProg, combine: 5
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ample, jKali, combine: 6
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Ample, jMutRepair, combine: 7
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Anderberg, ACS, combine: 8
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Anderberg, Nopol, combine: 9
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Anderberg, SimFix, combine: 10
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Anderberg, TBar, combine: 11
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Anderberg, jGenProg, combine: 12
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Anderberg, jKali, combine: 13
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Anderberg, jMutRepair, combine: 14
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, ArithmeticMean, ACS, combine: 15
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, ArithmeticMean, Nopol, combine: 16
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, ArithmeticMean, SimFix, combine: 17
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, ArithmeticMean, TBar, combine: 18
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, ArithmeticMean, jGenProg, combine: 19
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, ArithmeticMean, jKali, combine: 20
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, ArithmeticMean, jMutRepair, combine: 21
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BaroniUrbaniBuser, ACS, combine: 22
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BaroniUrbaniBuser, Nopol, combine: 23
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BaroniUrbaniBuser, SimFix, combine: 24
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BaroniUrbaniBuser, TBar, combine: 25
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BaroniUrbaniBuser, jGenProg, combine: 26
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BaroniUrbaniBuser, jKali, combine: 27
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BaroniUrbaniBuser, jMutRepair, combine: 28
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BraunBanqust, ACS, combine: 29
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, BraunBanqust, Nopol, combine: 30
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BraunBanqust, SimFix, combine: 31
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BraunBanqust, TBar, combine: 32
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BraunBanqust, jGenProg, combine: 33
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BraunBanqust, jKali, combine: 34
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, BraunBanqust, jMutRepair, combine: 35
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Cohen, ACS, combine: 36
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Cohen, Nopol, combine: 37
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Cohen, SimFix, combine: 38
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Cohen, TBar, combine: 39
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Cohen, jGenProg, combine: 40
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Cohen, jKali, combine: 41
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Cohen, jMutRepair, combine: 42
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dennis, ACS, combine: 43
1 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:0 #chart-1, Dennis, Nopol, combine: 44
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dennis, SimFix, combine: 45
0 qid:10001 1:0 2:0.0 3:0.0 4:0.0 5:1 #chart-1, Dennis, TBar, combine: 46
