10012 Q0 chart-12, Ample, ACS, combine: 1 1 0.46234 indri
10012 Q0 chart-12, Ample, Nopol, combine: 2 2 0.46234 indri
10012 Q0 chart-12, Ample, SimFix, combine: 3 3 0.46234 indri
10012 Q0 chart-12, Ample, TBar, combine: 4 4 0.46234 indri
10012 Q0 chart-12, Ample, jGenProg, combine: 5 5 0.46234 indri
10012 Q0 chart-12, Ample, jKali, combine: 6 6 0.46234 indri
10012 Q0 chart-12, Ample, jMutRepair, combine: 7 7 0.46234 indri
10012 Q0 chart-12, Anderberg, ACS, combine: 8 8 0.46234 indri
10012 Q0 chart-12, Anderberg, Nopol, combine: 9 9 0.46234 indri
10012 Q0 chart-12, Anderberg, SimFix, combine: 10 10 0.46234 indri
10012 Q0 chart-12, Anderberg, TBar, combine: 11 11 0.46234 indri
10012 Q0 chart-12, Anderberg, jGenProg, combine: 12 12 0.46234 indri
10012 Q0 chart-12, Anderberg, jKali, combine: 13 13 0.46234 indri
10012 Q0 chart-12, Anderberg, jMutRepair, combine: 14 14 0.46234 indri
10012 Q0 chart-12, ArithmeticMean, ACS, combine: 15 15 0.46234 indri
10012 Q0 chart-12, ArithmeticMean, Nopol, combine: 16 16 0.46234 indri
10012 Q0 chart-12, ArithmeticMean, SimFix, combine: 17 17 0.46234 indri
10012 Q0 chart-12, ArithmeticMean, TBar, combine: 18 18 0.46234 indri
10012 Q0 chart-12, ArithmeticMean, jGenProg, combine: 19 19 0.46234 indri
10012 Q0 chart-12, ArithmeticMean, jKali, combine: 20 20 0.46234 indri
10012 Q0 chart-12, ArithmeticMean, jMutRepair, combine: 21 21 0.46234 indri
10012 Q0 chart-12, BaroniUrbaniBuser, ACS, combine: 22 22 0.46234 indri
10012 Q0 chart-12, BaroniUrbaniBuser, Nopol, combine: 23 23 0.46234 indri
10012 Q0 chart-12, BaroniUrbaniBuser, SimFix, combine: 24 24 0.46234 indri
10012 Q0 chart-12, BaroniUrbaniBuser, TBar, combine: 25 25 0.46234 indri
10012 Q0 chart-12, BaroniUrbaniBuser, jGenProg, combine: 26 26 0.46234 indri
10012 Q0 chart-12, BaroniUrbaniBuser, jKali, combine: 27 27 0.46234 indri
10012 Q0 chart-12, BaroniUrbaniBuser, jMutRepair, combine: 28 28 0.46234 indri
10012 Q0 chart-12, BraunBanqust, ACS, combine: 29 29 0.46234 indri
10012 Q0 chart-12, BraunBanqust, Nopol, combine: 30 30 0.46234 indri
10012 Q0 chart-12, BraunBanqust, SimFix, combine: 31 31 0.46234 indri
10012 Q0 chart-12, BraunBanqust, TBar, combine: 32 32 0.46234 indri
10012 Q0 chart-12, BraunBanqust, jGenProg, combine: 33 33 0.46234 indri
