10001 Q0 chart-1, Ample, ACS, combine: 1 1 0.46212 indri
10001 Q0 chart-1, Ample, Nopol, combine: 2 2 0.46212 indri
10001 Q0 chart-1, Ample, SimFix, combine: 3 3 0.46212 indri
10001 Q0 chart-1, Ample, TBar, combine: 4 4 0.46212 indri
10001 Q0 chart-1, Ample, jGenProg, combine: 5 5 0.46212 indri
10001 Q0 chart-1, Ample, jKali, combine: 6 6 0.46212 indri
10001 Q0 chart-1, Ample, jMutRepair, combine: 7 7 0.46212 indri
10001 Q0 chart-1, Anderberg, ACS, combine: 8 8 0.46212 indri
10001 Q0 chart-1, Anderberg, Nopol, combine: 9 9 0.46212 indri
10001 Q0 chart-1, Anderberg, SimFix, combine: 10 10 0.46212 indri
10001 Q0 chart-1, Anderberg, TBar, combine: 11 11 0.46212 indri
10001 Q0 chart-1, Anderberg, jGenProg, combine: 12 12 0.46212 indri
10001 Q0 chart-1, Anderberg, jKali, combine: 13 13 0.46212 indri
10001 Q0 chart-1, Anderberg, jMutRepair, combine: 14 14 0.46212 indri
10001 Q0 chart-1, ArithmeticMean, ACS, combine: 15 15 0.46212 indri
10001 Q0 chart-1, ArithmeticMean, Nopol, combine: 16 16 0.46212 indri
10001 Q0 chart-1, ArithmeticMean, SimFix, combine: 17 17 0.46212 indri
10001 Q0 chart-1, ArithmeticMean, TBar, combine: 18 18 0.46212 indri
10001 Q0 chart-1, ArithmeticMean, jGenProg, combine: 19 19 0.46212 indri
10001 Q0 chart-1, ArithmeticMean, jKali, combine: 20 20 0.46212 indri
10001 Q0 chart-1, ArithmeticMean, jMutRepair, combine: 21 21 0.46212 indri
10001 Q0 chart-1, BaroniUrbaniBuser, ACS, combine: 22 22 0.46212 indri
10001 Q0 chart-1, BaroniUrbaniBuser, Nopol, combine: 23 23 0.46212 indri
10001 Q0 chart-1, BaroniUrbaniBuser, SimFix, combine: 24 24 0.46212 indri
10001 Q0 chart-1, BaroniUrbaniBuser, TBar, combine: 25 25 0.46212 indri
10001 Q0 chart-1, BaroniUrbaniBuser, jGenProg, combine: 26 26 0.46212 indri
10001 Q0 chart-1, BaroniUrbaniBuser, jKali, combine: 27 27 0.46212 indri
10001 Q0 chart-1, BaroniUrbaniBuser, jMutRepair, combine: 28 28 0.46212 indri
10001 Q0 chart-1, BraunBanqust, ACS, combine: 29 29 0.46212 indri
10001 Q0 chart-1, BraunBanqust, Nopol, combine: 30 30 0.46212 indri
10001 Q0 chart-1, BraunBanqust, SimFix, combine: 31 31 0.46212 indri
10001 Q0 chart-1, BraunBanqust, TBar, combine: 32 32 0.46212 indri
10001 Q0 chart-1, BraunBanqust, jGenProg, combine: 33 33 0.46212 indri
10001 Q0 chart-1, BraunBanqust, jKali, combine: 34 34 0.46212 indri
10001 Q0 chart-1, BraunBanqust, jMutRepair, combine: 35 35 0.46212 indri
10001 Q0 chart-1, Cohen, ACS, combine: 36 36 0.46212 indri
10001 Q0 chart-1, Cohen, Nopol, combine: 37 37 0.46212 indri
10001 Q0 chart-1, Cohen, SimFix, combine: 38 38 0.46212 indri
10001 Q0 chart-1, Cohen, TBar, combine: 39 39 0.46212 indri
10001 Q0 chart-1, Cohen, jGenProg, combine: 40 40 0.46212 indri
10001 Q0 chart-1, Cohen, jKali, combine: 41 41 0.46212 indri
10001 Q0 chart-1, Cohen, jMutRepair, combine: 42 42 0.46212 indri
10001 Q0 chart-1, Dennis, ACS, combine: 43 43 0.46212 indri
10001 Q0 chart-1, Dennis, Nopol, combine: 44 44 0.46212 indri
10001 Q0 chart-1, Dennis, SimFix, combine: 45 45 0.46212 indri
10001 Q0 chart-1, Dennis, TBar, combine: 46 46 0.46212 indri
10001 Q0 chart-1, Dennis, jGenProg, combine: 47 47 0.46212 indri
10001 Q0 chart-1, Dennis, jKali, combine: 48 48 0.46212 indri
10001 Q0 chart-1, Dennis, jMutRepair, combine: 49 49 0.46212 indri
10001 Q0 chart-1, Dice, ACS, combine: 50 50 0.46212 indri
10001 Q0 chart-1, Dice, Nopol, combine: 51 51 0.46212 indri
10001 Q0 chart-1, Dice, SimFix, combine: 52 52 0.46212 indri
10001 Q0 chart-1, Dice, TBar, combine: 53 53 0.46212 indri
10001 Q0 chart-1, Dice, jGenProg, combine: 54 54 0.46212 indri
10001 Q0 chart-1, Dice, jKali, combine: 55 55 0.46212 indri
10001 Q0 chart-1, Dice, jMutRepair, combine: 56 56 0.46212 indri
10001 Q0 chart-1, Dstar, ACS, combine: 57 57 0.46212 indri
10001 Q0 chart-1, Dstar, Nopol, combine: 58 58 0.46212 indri
10001 Q0 chart-1, Dstar, SimFix, combine: 59 59 0.46212 indri
10001 Q0 chart-1, Dstar, TBar, combine: 60 60 0.46212 indri
10001 Q0 chart-1, Dstar, jGenProg, combine: 61 61 0.46212 indri
10001 Q0 chart-1, Dstar, jKali, combine: 62 62 0.46212 indri
10001 Q0 chart-1, Dstar, jMutRepair, combine: 63 63 0.46212 indri
10001 Q0 chart-1, Euclid, ACS, combine: 64 64 0.46212 indri
10001 Q0 chart-1, Euclid, Nopol, combine: 65 65 0.46212 indri
10001 Q0 chart-1, Euclid, SimFix, combine: 66 66 0.46212 indri
10001 Q0 chart-1, Euclid, TBar, combine: 67 67 0.46212 indri
10001 Q0 chart-1, Euclid, jGenProg, combine: 68 68 0.46212 indri
10001 Q0 chart-1, Euclid, jKali, combine: 69 69 0.46212 indri
10001 Q0 chart-1, Euclid, jMutRepair, combine: 70 70 0.46212 indri
10001 Q0 chart-1, Fleiss, ACS, combine: 71 71 0.46212 indri
10001 Q0 chart-1, Fleiss, Nopol, combine: 72 72 0.46212 indri
10001 Q0 chart-1, Fleiss, SimFix, combine: 73 73 0.46212 indri
10001 Q0 chart-1, Fleiss, TBar, combine: 74 74 0.46212 indri
10001 Q0 chart-1, Fleiss, jGenProg, combine: 75 75 0.46212 indri
10001 Q0 chart-1, Fleiss, jKali, combine: 76 76 0.46212 indri
10001 Q0 chart-1, Fleiss, jMutRepair, combine: 77 77 0.46212 indri
10001 Q0 chart-1, Fossum, ACS, combine: 78 78 0.46212 indri
10001 Q0 chart-1, Fossum, Nopol, combine: 79 79 0.46212 indri
10001 Q0 chart-1, Fossum, SimFix, combine: 80 80 0.46212 indri
10001 Q0 chart-1, Fossum, TBar, combine: 81 81 0.46212 indri
10001 Q0 chart-1, Fossum, jGenProg, combine: 82 82 0.46212 indri
10001 Q0 chart-1, Fossum, jKali, combine: 83 83 0.46212 indri
10001 Q0 chart-1, Fossum, jMutRepair, combine: 84 84 0.46212 indri
10001 Q0 chart-1, Goodman, ACS, combine: 85 85 0.46212 indri
10001 Q0 chart-1, Goodman, Nopol, combine: 86 86 0.46212 indri
10001 Q0 chart-1, Goodman, SimFix, combine: 87 87 0.46212 indri
10001 Q0 chart-1, Goodman, TBar, combine: 88 88 0.46212 indri
10001 Q0 chart-1, Goodman, jGenProg, combine: 89 89 0.46212 indri
10001 Q0 chart-1, Goodman, jKali, combine: 90 90 0.46212 indri
