10026 Q0 chart-26, Overlap, ACS, combine: 204 1 0.52465 indri
10026 Q0 chart-26, Overlap, Nopol, combine: 205 2 0.52465 indri
10026 Q0 chart-26, Overlap, SimFix, combine: 206 3 0.52465 indri
10026 Q0 chart-26, Overlap, TBar, combine: 207 4 0.52465 indri
10026 Q0 chart-26, Overlap, jGenProg, combine: 208 5 0.52465 indri
10026 Q0 chart-26, Overlap, jKali, combine: 209 6 0.52465 indri
10026 Q0 chart-26, Overlap, jMutRepair, combine: 210 7 0.52465 indri
10026 Q0 chart-26, Ample, ACS, combine: 1 8 0.52295 indri
10026 Q0 chart-26, Ample, Nopol, combine: 2 9 0.52295 indri
10026 Q0 chart-26, Ample, SimFix, combine: 3 10 0.52295 indri
10026 Q0 chart-26, Ample, TBar, combine: 4 11 0.52295 indri
10026 Q0 chart-26, Ample, jGenProg, combine: 5 12 0.52295 indri
10026 Q0 chart-26, Ample, jKali, combine: 6 13 0.52295 indri
10026 Q0 chart-26, Ample, jMutRepair, combine: 7 14 0.52295 indri
10026 Q0 chart-26, Anderberg, ACS, combine: 8 15 0.52295 indri
10026 Q0 chart-26, Anderberg, Nopol, combine: 9 16 0.52295 indri
10026 Q0 chart-26, Anderberg, SimFix, combine: 10 17 0.52295 indri
10026 Q0 chart-26, Anderberg, TBar, combine: 11 18 0.52295 indri
10026 Q0 chart-26, Anderberg, jGenProg, combine: 12 19 0.52295 indri
10026 Q0 chart-26, Anderberg, jKali, combine: 13 20 0.52295 indri
10026 Q0 chart-26, Anderberg, jMutRepair, combine: 14 21 0.52295 indri
10026 Q0 chart-26, ArithmeticMean, ACS, combine: 15 22 0.52295 indri
10026 Q0 chart-26, ArithmeticMean, Nopol, combine: 16 23 0.52295 indri
10026 Q0 chart-26, ArithmeticMean, SimFix, combine: 17 24 0.52295 indri
10026 Q0 chart-26, ArithmeticMean, TBar, combine: 18 25 0.52295 indri
10026 Q0 chart-26, ArithmeticMean, jGenProg, combine: 19 26 0.52295 indri
10026 Q0 chart-26, ArithmeticMean, jKali, combine: 20 27 0.52295 indri
10026 Q0 chart-26, ArithmeticMean, jMutRepair, combine: 21 28 0.52295 indri
10026 Q0 chart-26, BaroniUrbaniBuser, ACS, combine: 22 29 0.52295 indri
10026 Q0 chart-26, BaroniUrbaniBuser, Nopol, combine: 23 30 0.52295 indri
10026 Q0 chart-26, BaroniUrbaniBuser, SimFix, combine: 24 31 0.52295 indri
10026 Q0 chart-26, BaroniUrbaniBuser, TBar, combine: 25 32 0.52295 indri
10026 Q0 chart-26, BaroniUrbaniBuser, jGenProg, combine: 26 33 0.52295 indri
10026 Q0 chart-26, BaroniUrbaniBuser, jKali, combine: 27 34 0.52295 indri
10026 Q0 chart-26, BaroniUrbaniBuser, jMutRepair, combine: 28 35 0.52295 indri
10026 Q0 chart-26, BraunBanqust, ACS, combine: 29 36 0.52295 indri
10026 Q0 chart-26, BraunBanqust, Nopol, combine: 30 37 0.52295 indri
10026 Q0 chart-26, BraunBanqust, SimFix, combine: 31 38 0.52295 indri
10026 Q0 chart-26, BraunBanqust, TBar, combine: 32 39 0.52295 indri
10026 Q0 chart-26, BraunBanqust, jGenProg, combine: 33 40 0.52295 indri
10026 Q0 chart-26, BraunBanqust, jKali, combine: 34 41 0.52295 indri
10026 Q0 chart-26, BraunBanqust, jMutRepair, combine: 35 42 0.52295 indri
10026 Q0 chart-26, Cohen, ACS, combine: 36 43 0.52295 indri
10026 Q0 chart-26, Cohen, Nopol, combine: 37 44 0.52295 indri
10026 Q0 chart-26, Cohen, SimFix, combine: 38 45 0.52295 indri
10026 Q0 chart-26, Cohen, TBar, combine: 39 46 0.52295 indri
10026 Q0 chart-26, Cohen, jGenProg, combine: 40 47 0.52295 indri
10026 Q0 chart-26, Cohen, jKali, combine: 41 48 0.52295 indri
10026 Q0 chart-26, Cohen, jMutRepair, combine: 42 49 0.52295 indri
10026 Q0 chart-26, Dennis, ACS, combine: 43 50 0.52295 indri
10026 Q0 chart-26, Dennis, Nopol, combine: 44 51 0.52295 indri
10026 Q0 chart-26, Dennis, SimFix, combine: 45 52 0.52295 indri
10026 Q0 chart-26, Dennis, TBar, combine: 46 53 0.52295 indri
10026 Q0 chart-26, Dennis, jGenProg, combine: 47 54 0.52295 indri
10026 Q0 chart-26, Dennis, jKali, combine: 48 55 0.52295 indri
10026 Q0 chart-26, Dennis, jMutRepair, combine: 49 56 0.52295 indri
10026 Q0 chart-26, Dice, ACS, combine: 50 57 0.52295 indri
10026 Q0 chart-26, Dice, Nopol, combine: 51 58 0.52295 indri
10026 Q0 chart-26, Dice, SimFix, combine: 52 59 0.52295 indri
10026 Q0 chart-26, Dice, TBar, combine: 53 60 0.52295 indri
10026 Q0 chart-26, Dice, jGenProg, combine: 54 61 0.52295 indri
10026 Q0 chart-26, Dice, jKali, combine: 55 62 0.52295 indri
10026 Q0 chart-26, Dice, jMutRepair, combine: 56 63 0.52295 indri
10026 Q0 chart-26, Dstar, ACS, combine: 57 64 0.52295 indri
10026 Q0 chart-26, Dstar, Nopol, combine: 58 65 0.52295 indri
10026 Q0 chart-26, Dstar, SimFix, combine: 59 66 0.52295 indri
10026 Q0 chart-26, Dstar, TBar, combine: 60 67 0.52295 indri
10026 Q0 chart-26, Dstar, jGenProg, combine: 61 68 0.52295 indri
10026 Q0 chart-26, Dstar, jKali, combine: 62 69 0.52295 indri
10026 Q0 chart-26, Dstar, jMutRepair, combine: 63 70 0.52295 indri
10026 Q0 chart-26, Euclid, ACS, combine: 64 71 0.52295 indri
10026 Q0 chart-26, Euclid, Nopol, combine: 65 72 0.52295 indri
10026 Q0 chart-26, Euclid, SimFix, combine: 66 73 0.52295 indri
10026 Q0 chart-26, Euclid, TBar, combine: 67 74 0.52295 indri
10026 Q0 chart-26, Euclid, jGenProg, combine: 68 75 0.52295 indri
10026 Q0 chart-26, Euclid, jKali, combine: 69 76 0.52295 indri
10026 Q0 chart-26, Euclid, jMutRepair, combine: 70 77 0.52295 indri
10026 Q0 chart-26, Fleiss, ACS, combine: 71 78 0.52295 indri
10026 Q0 chart-26, Fleiss, Nopol, combine: 72 79 0.52295 indri
10026 Q0 chart-26, Fleiss, SimFix, combine: 73 80 0.52295 indri
10026 Q0 chart-26, Fleiss, TBar, combine: 74 81 0.52295 indri
10026 Q0 chart-26, Fleiss, jGenProg, combine: 75 82 0.52295 indri
10026 Q0 chart-26, Fleiss, jKali, combine: 76 83 0.52295 indri
10026 Q0 chart-26, Fleiss, jMutRepair, combine: 77 84 0.52295 indri
10026 Q0 chart-26, Fossum, ACS, combine: 78 85 0.52295 indri
10026 Q0 chart-26, Fossum, Nopol, combine: 79 86 0.52295 indri
10026 Q0 chart-26, Fossum, SimFix, combine: 80 87 0.52295 indri
10026 Q0 chart-26, Fossum, TBar, combine: 81 88 0.52295 indri
10026 Q0 chart-26, Fossum, jGenProg, combine: 82 89 0.52295 indri
10026 Q0 chart-26, Fossum, jKali, combine: 83 90 0.52295 indri
10026 Q0 chart-26, Fossum, jMutRepair, combine: 84 91 0.52295 indri
10026 Q0 chart-26, Goodman, ACS, combine: 85 92 0.52295 indri
10026 Q0 chart-26, Goodman, Nopol, combine: 86 93 0.52295 indri
10026 Q0 chart-26, Goodman, SimFix, combine: 87 94 0.52295 indri
10026 Q0 chart-26, Goodman, TBar, combine: 88 95 0.52295 indri
10026 Q0 chart-26, Goodman, jGenProg, combine: 89 96 0.52295 indri
10026 Q0 chart-26, Goodman, jKali, combine: 90 97 0.52295 indri
10026 Q0 chart-26, Goodman, jMutRepair, combine: 91 98 0.52295 indri
10026 Q0 chart-26, Gower, ACS, combine: 92 99 0.52295 indri
10026 Q0 chart-26, Gower, Nopol, combine: 93 100 0.52295 indri
10026 Q0 chart-26, Gower, SimFix, combine: 94 101 0.52295 indri
10026 Q0 chart-26, Gower, TBar, combine: 95 102 0.52295 indri
10026 Q0 chart-26, Gower, jGenProg, combine: 96 103 0.52295 indri
10026 Q0 chart-26, Gower, jKali, combine: 97 104 0.52295 indri
10026 Q0 chart-26, Gower, jMutRepair, combine: 98 105 0.52295 indri
10026 Q0 chart-26, GP13, ACS, combine: 99 106 0.52295 indri
10026 Q0 chart-26, GP13, Nopol, combine: 100 107 0.52295 indri
10026 Q0 chart-26, GP13, SimFix, combine: 101 108 0.52295 indri
10026 Q0 chart-26, GP13, TBar, combine: 102 109 0.52295 indri
10026 Q0 chart-26, GP13, jGenProg, combine: 103 110 0.52295 indri
10026 Q0 chart-26, GP13, jKali, combine: 104 111 0.52295 indri
10026 Q0 chart-26, GP13, jMutRepair, combine: 105 112 0.52295 indri
10026 Q0 chart-26, Hamann, ACS, combine: 106 113 0.52295 indri
10026 Q0 chart-26, Hamann, Nopol, combine: 107 114 0.52295 indri
10026 Q0 chart-26, Hamann, SimFix, combine: 108 115 0.52295 indri
10026 Q0 chart-26, Hamann, TBar, combine: 109 116 0.52295 indri
10026 Q0 chart-26, Hamann, jGenProg, combine: 110 117 0.52295 indri
10026 Q0 chart-26, Hamann, jKali, combine: 111 118 0.52295 indri
10026 Q0 chart-26, Hamann, jMutRepair, combine: 112 119 0.52295 indri
10026 Q0 chart-26, Hamming, ACS, combine: 113 120 0.52295 indri
10026 Q0 chart-26, Hamming, Nopol, combine: 114 121 0.52295 indri
10026 Q0 chart-26, Hamming, SimFix, combine: 115 122 0.52295 indri
10026 Q0 chart-26, Hamming, TBar, combine: 116 123 0.52295 indri
10026 Q0 chart-26, Hamming, jGenProg, combine: 117 124 0.52295 indri
10026 Q0 chart-26, Hamming, jKali, combine: 118 125 0.52295 indri
10026 Q0 chart-26, Hamming, jMutRepair, combine: 119 126 0.52295 indri
10026 Q0 chart-26, HarmonicMean, ACS, combine: 120 127 0.52295 indri
10026 Q0 chart-26, HarmonicMean, Nopol, combine: 121 128 0.52295 indri
10026 Q0 chart-26, HarmonicMean, SimFix, combine: 122 129 0.52295 indri
10026 Q0 chart-26, HarmonicMean, TBar, combine: 123 130 0.52295 indri
10026 Q0 chart-26, HarmonicMean, jGenProg, combine: 124 131 0.52295 indri
10026 Q0 chart-26, HarmonicMean, jKali, combine: 125 132 0.52295 indri
10026 Q0 chart-26, HarmonicMean, jMutRepair, combine: 126 133 0.52295 indri
10026 Q0 chart-26, Jaccard, ACS, combine: 127 134 0.52295 indri
10026 Q0 chart-26, Jaccard, Nopol, combine: 128 135 0.52295 indri
10026 Q0 chart-26, Jaccard, SimFix, combine: 129 136 0.52295 indri
10026 Q0 chart-26, Jaccard, TBar, combine: 130 137 0.52295 indri
10026 Q0 chart-26, Jaccard, jGenProg, combine: 131 138 0.52295 indri
10026 Q0 chart-26, Jaccard, jKali, combine: 132 139 0.52295 indri
10026 Q0 chart-26, Jaccard, jMutRepair, combine: 133 140 0.52295 indri
