10001 Q0 chart-1, Ample, SimFix, combine: 3 1 0.55337 indri
10001 Q0 chart-1, Ample, TBar, combine: 4 2 0.55337 indri
10001 Q0 chart-1, Ample, jGenProg, combine: 5 3 0.55337 indri
10001 Q0 chart-1, Ample, jKali, combine: 6 4 0.55337 indri
10001 Q0 chart-1, Ample, jMutRepair, combine: 7 5 0.55337 indri
10001 Q0 chart-1, Anderberg, SimFix, combine: 10 6 0.55337 indri
10001 Q0 chart-1, Anderberg, TBar, combine: 11 7 0.55337 indri
10001 Q0 chart-1, Anderberg, jGenProg, combine: 12 8 0.55337 indri
10001 Q0 chart-1, Anderberg, jKali, combine: 13 9 0.55337 indri
10001 Q0 chart-1, Anderberg, jMutRepair, combine: 14 10 0.55337 indri
10001 Q0 chart-1, ArithmeticMean, SimFix, combine: 17 11 0.55337 indri
10001 Q0 chart-1, ArithmeticMean, TBar, combine: 18 12 0.55337 indri
10001 Q0 chart-1, ArithmeticMean, jGenProg, combine: 19 13 0.55337 indri
10001 Q0 chart-1, ArithmeticMean, jKali, combine: 20 14 0.55337 indri
10001 Q0 chart-1, ArithmeticMean, jMutRepair, combine: 21 15 0.55337 indri
10001 Q0 chart-1, BaroniUrbaniBuser, SimFix, combine: 24 16 0.55337 indri
10001 Q0 chart-1, BaroniUrbaniBuser, TBar, combine: 25 17 0.55337 indri
10001 Q0 chart-1, BaroniUrbaniBuser, jGenProg, combine: 26 18 0.55337 indri
10001 Q0 chart-1, BaroniUrbaniBuser, jKali, combine: 27 19 0.55337 indri
10001 Q0 chart-1, BaroniUrbaniBuser, jMutRepair, combine: 28 20 0.55337 indri
10001 Q0 chart-1, BraunBanqust, SimFix, combine: 31 21 0.55337 indri
10001 Q0 chart-1, BraunBanqust, TBar, combine: 32 22 0.55337 indri
10001 Q0 chart-1, BraunBanqust, jGenProg, combine: 33 23 0.55337 indri
10001 Q0 chart-1, BraunBanqust, jKali, combine: 34 24 0.55337 indri
10001 Q0 chart-1, BraunBanqust, jMutRepair, combine: 35 25 0.55337 indri
10001 Q0 chart-1, Cohen, SimFix, combine: 38 26 0.55337 indri
10001 Q0 chart-1, Cohen, TBar, combine: 39 27 0.55337 indri
10001 Q0 chart-1, Cohen, jGenProg, combine: 40 28 0.55337 indri
10001 Q0 chart-1, Cohen, jKali, combine: 41 29 0.55337 indri
