0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, ACS, combine: 1
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, Nopol, combine: 2
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, SimFix, combine: 3
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, TBar, combine: 4
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, jGenProg, combine: 5
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, jKali, combine: 6
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, jMutRepair, combine: 7
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Anderberg, ACS, combine: 8
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Anderberg, Nopol, combine: 9
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Anderberg, SimFix, combine: 10
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Anderberg, TBar, combine: 11
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Anderberg, jGenProg, combine: 12
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Anderberg, jKali, combine: 13
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Anderberg, jMutRepair, combine: 14
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, ArithmeticMean, ACS, combine: 15
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, ArithmeticMean, Nopol, combine: 16
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, ArithmeticMean, SimFix, combine: 17
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, ArithmeticMean, TBar, combine: 18
