0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, DStar, ACS, combine: 1
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, DStar, Nopol, combine: 2
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, DStar, SimFix, combine: 3
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, DStar, TBar, combine: 4
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Jaccard, ACS, combine: 5
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Jaccard, Nopol, combine: 6
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Jaccard, SimFix, combine: 7
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, Jaccard, TBar, combine: 8
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Ochiai, ACS, combine: 9
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Ochiai, Nopol, combine: 10
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Ochiai, SimFix, combine: 11
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, Ochiai, TBar, combine: 12
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Tarantula, ACS, combine: 13
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Tarantula, Nopol, combine: 14
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Tarantula, SimFix, combine: 15
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, Tarantula, TBar, combine: 16
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, DStar, ACS, combine: 1
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, DStar, Nopol, combine: 2
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, DStar, SimFix, combine: 3
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, DStar, TBar, combine: 4
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Jaccard, ACS, combine: 5
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Jaccard, Nopol, combine: 6
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, Jaccard, SimFix, combine: 7
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, Jaccard, TBar, combine: 8
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Ochiai, ACS, combine: 9
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Ochiai, Nopol, combine: 10
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, Ochiai, SimFix, combine: 11
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, Ochiai, TBar, combine: 12
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Tarantula, ACS, combine: 13
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Tarantula, Nopol, combine: 14
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, Tarantula, SimFix, combine: 15
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, Tarantula, TBar, combine: 16
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, DStar, ACS, combine: 1
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, DStar, Nopol, combine: 2
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, DStar, SimFix, combine: 3
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, DStar, TBar, combine: 4
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Jaccard, ACS, combine: 5
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, Jaccard, Nopol, combine: 6
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Jaccard, SimFix, combine: 7
