0 qid:30001 1:0 2:0 3:0 4:0 5:0.0 #math-1, DStar, ACS, combine: 1
0 qid:30001 1:0 2:0 3:0 4:0 5:0.0 #math-1, DStar, Nopol, combine: 2
0 qid:30001 1:0 2:0 3:0 4:0 5:0.5 #math-1, DStar, SimFix, combine: 3
0 qid:30001 1:0 2:0 3:0 4:0 5:0.5 #math-1, DStar, TBar, combine: 4
0 qid:30001 1:0 2:0 3:0 4:1 5:0.0 #math-1, Jaccard, ACS, combine: 5
0 qid:30001 1:0 2:0 3:0 4:1 5:0.0 #math-1, Jaccard, Nopol, combine: 6
0 qid:30001 1:0 2:0 3:0 4:1 5:0.5 #math-1, Jaccard, SimFix, combine: 7
0 qid:30001 1:0 2:0 3:0 4:1 5:0.5 #math-1, Jaccard, TBar, combine: 8
0 qid:30001 1:0 2:0 3:0 4:0 5:0.0 #math-1, Ochiai, ACS, combine: 9
0 qid:30001 1:0 2:0 3:0 4:0 5:0.0 #math-1, Ochiai, Nopol, combine: 10
0 qid:30001 1:0 2:0 3:0 4:0 5:0.5 #math-1, Ochiai, SimFix, combine: 11
0 qid:30001 1:0 2:0 3:0 4:0 5:0.5 #math-1, Ochiai, TBar, combine: 12
0 qid:30001 1:0 2:0 3:0 4:1 5:0.0 #math-1, Tarantula, ACS, combine: 13
0 qid:30001 1:0 2:0 3:0 4:1 5:0.0 #math-1, Tarantula, Nopol, combine: 14
0 qid:30001 1:0 2:0 3:0 4:1 5:0.5 #math-1, Tarantula, SimFix, combine: 15
0 qid:30001 1:0 2:0 3:0 4:1 5:0.5 #math-1, Tarantula, TBar, combine: 16
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, DStar, ACS, combine: 1
0 qid:30002 1:0 2:0 3:0 4:0 5:0.5 #math-2, DStar, Nopol, combine: 2
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, DStar, SimFix, combine: 3
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, DStar, TBar, combine: 4
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Jaccard, ACS, combine: 5
0 qid:30002 1:0 2:0 3:0 4:0 5:0.5 #math-2, Jaccard, Nopol, combine: 6
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Jaccard, SimFix, combine: 7
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Jaccard, TBar, combine: 8
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Ochiai, ACS, combine: 9
0 qid:30002 1:0 2:0 3:0 4:0 5:0.5 #math-2, Ochiai, Nopol, combine: 10
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Ochiai, SimFix, combine: 11
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Ochiai, TBar, combine: 12
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Tarantula, ACS, combine: 13
0 qid:30002 1:0 2:0 3:0 4:0 5:0.5 #math-2, Tarantula, Nopol, combine: 14
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Tarantula, SimFix, combine: 15
0 qid:30002 1:0 2:0 3:0 4:0 5:0.0 #math-2, Tarantula, TBar, combine: 16
1 qid:30003 1:0 2:1 3:1 4:1 5:1.0 #math-3, DStar, ACS, combine: 1
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, DStar, Nopol, combine: 2
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, DStar, SimFix, combine: 3
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, DStar, TBar, combine: 4
1 qid:30003 1:0 2:1 3:1 4:1 5:1.0 #math-3, Jaccard, ACS, combine: 5
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Jaccard, Nopol, combine: 6
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Jaccard, SimFix, combine: 7
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Jaccard, TBar, combine: 8
1 qid:30003 1:0 2:1 3:1 4:1 5:1.0 #math-3, Ochiai, ACS, combine: 9
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Ochiai, Nopol, combine: 10
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Ochiai, SimFix, combine: 11
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Ochiai, TBar, combine: 12
1 qid:30003 1:0 2:1 3:1 4:1 5:1.0 #math-3, Tarantula, ACS, combine: 13
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Tarantula, Nopol, combine: 14
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Tarantula, SimFix, combine: 15
0 qid:30003 1:0 2:1 3:1 4:1 5:0.0 #math-3, Tarantula, TBar, combine: 16
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, DStar, ACS, combine: 1
0 qid:30004 1:0 2:1 3:1 4:1 5:0.5 #math-4, DStar, Nopol, combine: 2
0 qid:30004 1:0 2:1 3:1 4:1 5:0.0 #math-4, DStar, SimFix, combine: 3
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, DStar, TBar, combine: 4
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, Jaccard, ACS, combine: 5
0 qid:30004 1:0 2:1 3:1 4:1 5:0.5 #math-4, Jaccard, Nopol, combine: 6
0 qid:30004 1:0 2:1 3:1 4:1 5:0.0 #math-4, Jaccard, SimFix, combine: 7
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, Jaccard, TBar, combine: 8
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, Ochiai, ACS, combine: 9
0 qid:30004 1:0 2:1 3:1 4:1 5:0.5 #math-4, Ochiai, Nopol, combine: 10
0 qid:30004 1:0 2:1 3:1 4:1 5:0.0 #math-4, Ochiai, SimFix, combine: 11
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, Ochiai, TBar, combine: 12
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, Tarantula, ACS, combine: 13
0 qid:30004 1:0 2:1 3:1 4:1 5:0.5 #math-4, Tarantula, Nopol, combine: 14
0 qid:30004 1:0 2:1 3:1 4:1 5:0.0 #math-4, Tarantula, SimFix, combine: 15
1 qid:30004 1:0 2:1 3:1 4:1 5:1.0 #math-4, Tarantula, TBar, combine: 16
1 qid:30005 1:0 2:0 3:0 4:0 5:1.0 #math-5, DStar, ACS, combine: 1
0 qid:30005 1:0 2:0 3:0 4:0 5:0.0 #math-5, DStar, Nopol, combine: 2
1 qid:30005 1:0 2:0 3:0 4:0 5:1.0 #math-5, DStar, SimFix, combine: 3
1 qid:30005 1:0 2:0 3:0 4:0 5:1.0 #math-5, DStar, TBar, combine: 4
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Jaccard, ACS, combine: 5
0 qid:30005 1:1 2:1 3:1 4:1 5:0.0 #math-5, Jaccard, Nopol, combine: 6
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Jaccard, SimFix, combine: 7
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Jaccard, TBar, combine: 8
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Ochiai, ACS, combine: 9
0 qid:30005 1:1 2:1 3:1 4:1 5:0.0 #math-5, Ochiai, Nopol, combine: 10
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Ochiai, SimFix, combine: 11
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Ochiai, TBar, combine: 12
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Tarantula, ACS, combine: 13
0 qid:30005 1:1 2:1 3:1 4:1 5:0.0 #math-5, Tarantula, Nopol, combine: 14
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Tarantula, SimFix, combine: 15
1 qid:30005 1:1 2:1 3:1 4:1 5:1.0 #math-5, Tarantula, TBar, combine: 16
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, DStar, ACS, combine: 1
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, DStar, Nopol, combine: 2
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, DStar, SimFix, combine: 3
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, DStar, TBar, combine: 4
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, Jaccard, ACS, combine: 5
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, Jaccard, Nopol, combine: 6
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, Jaccard, SimFix, combine: 7
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, Jaccard, TBar, combine: 8
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, Ochiai, ACS, combine: 9
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, Ochiai, Nopol, combine: 10
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, Ochiai, SimFix, combine: 11
