1 Q0 chart-1, DStar, SimFix, combine: 3 1 0.49452 indri
1 Q0 chart-1, DStar, TBar, combine: 4 2 0.49452 indri
1 Q0 chart-1, Jaccard, SimFix, combine: 7 3 0.49452 indri
1 Q0 chart-1, Jaccard, TBar, combine: 8 4 0.49452 indri
1 Q0 chart-1, Ochiai, SimFix, combine: 11 5 0.49452 indri
1 Q0 chart-1, Ochiai, TBar, combine: 12 6 0.49452 indri
1 Q0 chart-1, Tarantula, SimFix, combine: 15 7 0.49452 indri
1 Q0 chart-1, Tarantula, TBar, combine: 16 8 0.49452 indri
1 Q0 chart-1, DStar, ACS, combine: 1 9 0.49061 indri
1 Q0 chart-1, DStar, Nopol, combine: 2 10 0.49061 indri
1 Q0 chart-1, Jaccard, ACS, combine: 5 11 0.49061 indri
1 Q0 chart-1, Jaccard, Nopol, combine: 6 12 0.49061 indri
1 Q0 chart-1, Ochiai, ACS, combine: 9 13 0.49061 indri
1 Q0 chart-1, Ochiai, Nopol, combine: 10 14 0.49061 indri
1 Q0 chart-1, Tarantula, ACS, combine: 13 15 0.49061 indri
1 Q0 chart-1, Tarantula, Nopol, combine: 14 16 0.49061 indri
2 Q0 chart-2, DStar, SimFix, combine: 3 1 0.49257 indri
2 Q0 chart-2, DStar, TBar, combine: 4 2 0.49257 indri
2 Q0 chart-2, Jaccard, SimFix, combine: 7 3 0.49257 indri
2 Q0 chart-2, Jaccard, TBar, combine: 8 4 0.49257 indri
2 Q0 chart-2, Ochiai, SimFix, combine: 11 5 0.49257 indri
2 Q0 chart-2, Ochiai, TBar, combine: 12 6 0.49257 indri
2 Q0 chart-2, Tarantula, SimFix, combine: 15 7 0.49257 indri
2 Q0 chart-2, Tarantula, TBar, combine: 16 8 0.49257 indri
2 Q0 chart-2, DStar, ACS, combine: 1 9 0.49061 indri
2 Q0 chart-2, DStar, Nopol, combine: 2 10 0.49061 indri
2 Q0 chart-2, Jaccard, ACS, combine: 5 11 0.49061 indri
